,yr,service,calltime,callsource,nature,secs_to_disp,secs_to_arrv,secs_to_close,priority,primeunit,month,response_time
43959,2014,LAW ,2014-05-18 22:09:40,PHONE,ASSIST,5550.0,6096.0,9541,5,CAHOT,5,9.1
43961,2014,LAW ,2014-05-18 22:17:55,PHONE,TRANSPORT,1419.0,3249.0,5048,5,CAHOT,5,30.5
44087,2014,LAW ,2014-05-19 10:59:32,PHONE,ASSIST,490.0,1309.0,1327,5,CAHOT,5,13.65
44100,2014,LAW ,2014-05-19 11:31:03,PHONE,ASSIST,703.0,1505.0,4072,5,CAHOT,5,13.366666666666667
44113,2014,LAW ,2014-05-19 12:18:01,W911,MENTAL HEALTH,1263.0,2039.0,3892,3,CAHOT,5,12.933333333333334
44118,2014,LAW ,2014-05-19 12:31:35,PHONE,ASSIST,5570.0,6228.0,11220,5,CAHOT,5,10.966666666666667
44134,2014,LAW ,2014-05-19 12:57:56,PHONE,WELFARE CHECK,10867.0,11377.0,11570,5,CAHOT,5,8.5
44142,2014,LAW ,2014-05-19 13:21:16,PHONE,WELFARE CHECK,8249.0,9330.0,9440,5,CAHOT,5,18.016666666666666
44164,2014,LAW ,2014-05-19 14:44:13,PHONE,WELFARE CHECK,3225.0,4448.0,4633,4,CAHOT,5,20.383333333333333
44166,2014,LAW ,2014-05-19 14:47:41,PHONE,TRANSPORT,4469.0,4728.0,5006,5,CAHOT,5,4.316666666666666
44183,2014,LAW ,2014-05-19 15:32:05,PHONE,TRANSPORT,2329.0,2466.0,2770,5,CAHOT,5,2.283333333333333
44201,2014,LAW ,2014-05-19 16:40:06,PHONE,WELFARE CHECK,171.0,783.0,5070,5,CAHOT,5,10.2
44202,2014,LAW ,2014-05-19 16:44:55,E911,ASSIST,132.0,772.0,1421,5,CAHOT,5,10.666666666666666
44203,2014,LAW ,2014-05-19 16:49:03,W911,DISORDERLY CONDUCT,1186.0,1607.0,2056,3,CAHOT,5,7.016666666666667
44204,2014,LAW ,2014-05-19 16:53:15,PHONE,ASSIST,1894.0,2750.0,6011,5,CAHOT,5,14.266666666666667
44231,2014,LAW ,2014-05-19 18:29:19,PHONE,ASSIST,92.0,1779.0,4517,5,CAHOT,5,28.116666666666667
44235,2014,LAW ,2014-05-19 18:48:45,PHONE,WELFARE CHECK,2961.0,3258.0,12884,4,CAHOT,5,4.95
44239,2014,LAW ,2014-05-19 19:04:53,PHONE,ASSIST,100.0,624.0,3640,5,CAHOT,5,8.733333333333333
44247,2014,LAW ,2014-05-19 19:46:14,PHONE,TRANSPORT,313.0,1124.0,2367,5,CAHOT,5,13.516666666666667
44259,2014,LAW ,2014-05-19 20:30:57,PHONE,TRANSPORT,6408.0,6578.0,8023,5,CAHOT,5,2.8333333333333335
44266,2014,LAW ,2014-05-19 21:12:30,PHONE,TRANSPORT,5539.0,6178.0,6661,5,CAHOT,5,10.65
44273,2014,LAW ,2014-05-19 21:32:11,PHONE,WELFARE CHECK,999.0,1688.0,2658,5,CAHOT,5,11.483333333333333
44293,2014,LAW ,2014-05-19 23:06:36,PHONE,ASSIST,107.0,1665.0,5516,5,CAHOT,5,25.966666666666665
44304,2014,LAW ,2014-05-19 23:49:28,PHONE,WELFARE CHECK,3070.0,3905.0,6143,5,CAHOT,5,13.916666666666666
44315,2014,LAW ,2014-05-20 00:38:33,PHONE,ASSIST,3216.0,3635.0,7789,5,CAHOT,5,6.983333333333333
44350,2014,LAW ,2014-05-20 07:49:26,PHONE,FOUND CONTRABAND,13989.0,14635.0,14949,5,CAHOT,5,10.766666666666667
44382,2014,LAW ,2014-05-20 09:37:32,PHONE,TRANSPORT,5447.0,5456.0,7451,5,CAHOT,5,0.15
44391,2014,LAW ,2014-05-20 10:08:41,PHONE,FOUND CONTRABAND,6598.0,6842.0,8146,5,CAHOT,5,4.066666666666666
44396,2014,LAW ,2014-05-20 10:26:15,PHONE,WELFARE CHECK,20242.0,23258.0,23835,5,CAHOT,5,50.266666666666666
44429,2014,LAW ,2014-05-20 11:51:34,PHONE,TRANSPORT,1974.0,19494.0,19627,5,CAHOT,5,292.0
44447,2014,LAW ,2014-05-20 12:27:23,PHONE,WELFARE CHECK,9518.0,10995.0,14561,5,CAHOT,5,24.616666666666667
44451,2014,LAW ,2014-05-20 12:33:57,PHONE,WELFARE CHECK,10917.0,11973.0,12579,5,CAHOT,5,17.6
44484,2014,LAW ,2014-05-20 13:56:19,PHONE,TRANSPORT,11509.0,12482.0,14286,5,CAHOT,5,16.216666666666665
44491,2014,LAW ,2014-05-20 14:22:07,PHONE,TRANSPORT,10599.0,11625.0,13095,5,CAHOT,5,17.1
44577,2014,LAW ,2014-05-20 18:08:42,PHONE,ASSIST,136.0,1777.0,3038,5,CAHOT,5,27.35
44586,2014,LAW ,2014-05-20 18:29:13,PHONE,WELFARE CHECK,1812.0,2215.0,2637,5,CAHOT,5,6.716666666666667
44599,2014,LAW ,2014-05-20 19:40:14,PHONE,TRANSPORT,217.0,365.0,1664,5,CAHOT,5,2.466666666666667
44601,2014,LAW ,2014-05-20 19:43:52,PHONE,SUICIDE RISK,26.0,653.0,5996,1,CAHOT,5,10.45
44610,2014,LAW ,2014-05-20 20:31:15,PHONE,ASSIST,198.0,883.0,2349,5,CAHOT,5,11.416666666666666
44614,2014,LAW ,2014-05-20 21:01:49,PHONE,ASSIST,1378.0,2290.0,3629,5,CAHOT,5,15.2
44623,2014,LAW ,2014-05-20 21:41:41,PHONE,TRANSPORT,1241.0,1241.0,3504,5,CAHOT,5,0.0
44624,2014,LAW ,2014-05-20 21:44:26,W911,WELFARE CHECK,330.0,2017.0,3974,3,CAHOT,5,28.116666666666667
44628,2014,LAW ,2014-05-20 21:56:40,PHONE,TRANSPORT,2637.0,3270.0,6485,5,CAHOT,5,10.55
44637,2014,LAW ,2014-05-20 22:36:07,PHONE,TRANSPORT,4186.0,4404.0,5281,5,CAHOT,5,3.6333333333333333
44642,2014,LAW ,2014-05-20 23:29:54,W911,WELFARE CHECK,2216.0,2551.0,3305,5,CAHOT,5,5.583333333333333
44650,2014,LAW ,2014-05-21 00:39:27,PHONE,TRANSPORT,797.0,1766.0,3067,5,CAHOT,5,16.15
44656,2014,LAW ,2014-05-21 01:16:13,PHONE,TRANSPORT,872.0,1096.0,1616,5,CAHOT,5,3.7333333333333334
44711,2014,LAW ,2014-05-21 08:45:09,PHONE,FOUND CONTRABAND,8638.0,10179.0,10437,5,CAHOT,5,25.683333333333334
44731,2014,LAW ,2014-05-21 09:28:37,PHONE,WELFARE CHECK,22021.0,25513.0,27211,5,CAHOT,5,58.2
44774,2014,LAW ,2014-05-21 11:37:02,PHONE,TRANSPORT,138.0,244.0,1724,5,CAHOT,5,1.7666666666666666
44775,2014,LAW ,2014-05-21 11:44:16,PHONE,TRANSPORT,1299.0,1617.0,3510,5,CAHOT,5,5.3
44820,2014,LAW ,2014-05-21 12:54:46,W911,WELFARE CHECK,4576.0,5118.0,10350,3,CAHOT,5,9.033333333333333
44836,2014,LAW ,2014-05-21 13:23:06,PHONE,ASSIST,1785.0,10450.0,10516,5,CAHOT,5,144.41666666666666
44843,2014,LAW ,2014-05-21 13:52:46,PHONE,TRANSPORT,8752.0,9307.0,9975,5,CAHOT,5,9.25
44893,2014,LAW ,2014-05-21 16:17:46,PHONE,TRANSPORT,2775.0,3092.0,4008,5,CAHOT,5,5.283333333333333
44906,2014,LAW ,2014-05-21 17:02:09,PHONE,WELFARE CHECK,881.0,1054.0,1312,5,CAHOT,5,2.8833333333333333
44916,2014,LAW ,2014-05-21 17:37:41,PHONE,TRANSPORT,217.0,371.0,2131,5,CAHOT,5,2.566666666666667
44931,2014,LAW ,2014-05-21 18:17:31,PHONE,ASSIST,1740.0,2613.0,7681,5,CAHOT,5,14.55
44946,2014,LAW ,2014-05-21 19:37:25,PHONE,INTOXICATED PERSON,104.0,374.0,1040,5,CAHOT,5,4.5
44952,2014,LAW ,2014-05-21 20:16:53,PHONE,ASSIST,146.0,1056.0,7270,5,CAHOT,5,15.166666666666666
44957,2014,LAW ,2014-05-21 20:45:56,E911,ASSIST,12.0,318.0,3140,11,CAHOT,5,5.1
44971,2014,LAW ,2014-05-21 21:45:37,PHONE,TRANSPORT,332.0,899.0,2239,5,CAHOT,5,9.45
44977,2014,LAW ,2014-05-21 21:59:31,PHONE,TRAFFIC ISSUE,1903.0,3611.0,3999,3,CAHOT,5,28.466666666666665
44988,2014,LAW ,2014-05-21 22:36:25,PHONE,TRANSPORT,1788.0,1925.0,2756,5,CAHOT,5,2.283333333333333
45020,2014,LAW ,2014-05-22 00:54:54,PHONE,ASSIST,185.0,801.0,1045,5,CAHOT,5,10.266666666666667
45026,2014,LAW ,2014-05-22 01:30:00,PHONE,ASSIST,209.0,524.0,1033,5,CAHOT,5,5.25
45082,2014,LAW ,2014-05-22 09:38:05,PHONE,TRANSPORT,15048.0,15048.0,16048,5,CAHOT,5,0.0
45085,2014,LAW ,2014-05-22 09:41:35,PHONE,EMERGENCY MESSAGE,4935.0,6994.0,9678,5,CAHOT,5,34.31666666666667
45104,2014,LAW ,2014-05-22 10:47:10,PHONE,ASSIST,5755.0,6499.0,10891,4,CAHOT,5,12.4
45107,2014,LAW ,2014-05-22 11:14:24,PHONE,TRANSPORT,10272.0,10272.0,13551,5,CAHOT,5,0.0
45204,2014,LAW ,2014-05-22 14:12:07,PHONE,ASSIST,4950.0,5967.0,8728,5,CAHOT,5,16.95
45205,2014,LAW ,2014-05-22 14:14:55,PHONE,WELFARE CHECK,11371.0,13264.0,13546,5,CAHOT,5,31.55
45225,2014,LAW ,2014-05-22 14:53:13,PHONE,ASSIST,7230.0,8037.0,14294,5,CAHOT,5,13.45
45226,2014,LAW ,2014-05-22 14:59:55,PHONE,TRANSPORT,5862.0,6602.0,8656,5,CAHOT,5,12.333333333333334
45242,2014,LAW ,2014-05-22 15:50:19,PHONE,WELFARE CHECK,7868.0,8334.0,9542,5,CAHOT,5,7.766666666666667
45265,2014,LAW ,2014-05-22 16:47:00,PHONE,ASSIST,6143.0,8418.0,13496,5,CAHOT,5,37.916666666666664
45266,2014,LAW ,2014-05-22 16:51:50,PHONE,TRANSPORT,8820.0,9262.0,9615,5,CAHOT,5,7.366666666666666
45267,2014,LAW ,2014-05-22 16:52:02,PHONE,ASSIST,6144.0,8369.0,8372,5,CAHOT,5,37.083333333333336
45304,2014,LAW ,2014-05-22 18:51:12,PHONE,ASSIST,2471.0,2806.0,2930,5,CAHOT,5,5.583333333333333
45317,2014,LAW ,2014-05-22 19:32:09,PHONE,INTOXICATED PERSON,475.0,913.0,2784,5,CAHOT,5,7.3
45333,2014,LAW ,2014-05-22 20:45:02,PHONE,INTOXICATED PERSON,149.0,1499.0,2758,5,CAHOT,5,22.5
45334,2014,LAW ,2014-05-22 20:46:17,PHONE,TRANSPORT,5947.0,6543.0,7179,5,CAHOT,5,9.933333333333334
45335,2014,LAW ,2014-05-22 20:47:01,PHONE,TRANSPORT,218.0,2501.0,5591,5,CAHOT,5,38.05
45344,2014,LAW ,2014-05-22 21:16:07,PHONE,FOUND CONTRABAND,2997.0,3855.0,4134,5,CAHOT,5,14.3
45372,2014,LAW ,2014-05-22 23:17:16,PHONE,SUICIDE RISK,2116.0,2820.0,4101,5,CAHOT,5,11.733333333333333
45413,2014,LAW ,2014-05-23 01:21:19,PHONE,ASSIST,228.0,1648.0,6275,5,CAHOT,5,23.666666666666668
45464,2014,LAW ,2014-05-23 08:01:22,PHONE,WELFARE CHECK,27389.0,28498.0,29187,5,CAHOT,5,18.483333333333334
45503,2014,LAW ,2014-05-23 09:22:51,PHONE,TRANSPORT,6241.0,9282.0,25855,5,CAHOT,5,50.68333333333333
45509,2014,LAW ,2014-05-23 09:37:58,PHONE,TRANSPORT,23404.0,24391.0,27374,5,CAHOT,5,16.45
45554,2014,LAW ,2014-05-23 11:08:27,PHONE,ASSIST,16.0,1213.0,2574,11,CAHOT,5,19.95
45652,2014,LAW ,2014-05-23 15:39:28,PHONE,TRANSPORT,5741.0,7331.0,8977,5,CAHOT,5,26.5
45660,2014,LAW ,2014-05-23 16:05:47,PHONE,WELFARE CHECK,3969.0,4417.0,5022,5,CAHOT,5,7.466666666666667
45674,2014,LAW ,2014-05-23 16:31:32,PHONE,FOUND CONTRABAND,24690.0,25253.0,25553,5,CAHOT,5,9.383333333333333
45683,2014,LAW ,2014-05-23 16:56:55,PHONE,INTOXICATED PERSON,4332.0,4801.0,5368,5,CAHOT,5,7.816666666666666
45686,2014,LAW ,2014-05-23 17:10:11,PHONE,TRANSPORT,4701.0,4701.0,5425,5,CAHOT,5,0.0
45688,2014,LAW ,2014-05-23 17:12:22,PHONE,TRANSPORT,23106.0,23433.0,23496,5,CAHOT,5,5.45
45692,2014,LAW ,2014-05-23 17:20:05,PHONE,TRANSPORT,3918.0,3918.0,4311,5,CAHOT,5,0.0
45696,2014,LAW ,2014-05-23 17:24:15,PHONE,WELFARE CHECK,6116.0,7122.0,14669,3,CAHOT,5,16.766666666666666
45699,2014,LAW ,2014-05-23 17:32:48,PHONE,WELFARE CHECK,4070.0,4784.0,5561,5,CAHOT,5,11.9
45713,2014,LAW ,2014-05-23 18:29:43,PHONE,ASSIST,4174.0,4854.0,9525,5,CAHOT,5,11.333333333333334
45730,2014,LAW ,2014-05-23 19:43:59,PHONE,TRANSPORT,6316.0,6714.0,7592,5,CAHOT,5,6.633333333333334
45731,2014,LAW ,2014-05-23 19:44:42,PHONE,ASSIST,6141.0,7016.0,8343,5,CAHOT,5,14.583333333333334
45769,2014,LAW ,2014-05-23 21:39:21,PHONE,WELFARE CHECK,679.0,1143.0,2275,3,CAHOT,5,7.733333333333333
45777,2014,LAW ,2014-05-23 22:05:46,PHONE,SUBJECT DOWN,94.0,275.0,2502,1,CAHOT,5,3.0166666666666666
45843,2014,LAW ,2014-05-24 00:16:06,PHONE,WELFARE CHECK,622.0,1209.0,2079,5,CAHOT,5,9.783333333333333
45919,2014,LAW ,2014-05-24 08:42:51,PHONE,TRANSPORT,8441.0,9326.0,9446,5,CAHOT,5,14.75
45937,2014,LAW ,2014-05-24 10:53:25,PHONE,ASSIST,4278.0,5396.0,8310,5,CAHOT,5,18.633333333333333
45939,2014,LAW ,2014-05-24 11:03:17,PHONE,TRANSPORT,1036.0,1753.0,3654,5,CAHOT,5,11.95
45942,2014,LAW ,2014-05-24 11:17:45,PHONE,TRANSPORT,12243.0,12716.0,13734,5,CAHOT,5,7.883333333333334
45995,2014,LAW ,2014-05-24 14:56:56,PHONE,ASSIST,1379.0,3075.0,3442,5,CAHOT,5,28.266666666666666
45998,2014,LAW ,2014-05-24 15:01:30,PHONE,WELFARE CHECK,311.0,977.0,1004,5,CAHOT,5,11.1
46001,2014,LAW ,2014-05-24 15:19:01,PHONE,CODE VIOLATION,2602.0,3282.0,11801,5,CAHOT,5,11.333333333333334
46016,2014,LAW ,2014-05-24 16:56:20,PHONE,WELFARE CHECK,755.0,1699.0,2402,5,CAHOT,5,15.733333333333333
46018,2014,LAW ,2014-05-24 17:03:36,PHONE,FOUND CONTRABAND,1390.0,1963.0,2050,5,CAHOT,5,9.55
46021,2014,LAW ,2014-05-24 17:10:35,PHONE,TRANSPORT,1549.0,1958.0,2602,5,CAHOT,5,6.816666666666666
46028,2014,LAW ,2014-05-24 17:32:17,PHONE,ASSIST,336.0,746.0,2401,5,CAHOT,5,6.833333333333333
46041,2014,LAW ,2014-05-24 18:17:39,PHONE,TRANSPORT,1087.0,1089.0,1710,5,CAHOT,5,0.03333333333333333
46058,2014,LAW ,2014-05-24 19:28:46,PHONE,SUBJECT DOWN,18.0,383.0,1280,1,CAHOT,5,6.083333333333333
46064,2014,LAW ,2014-05-24 20:02:58,PHONE,DISORDERLY CONDUCT,199.0,449.0,710,3,CAHOT,5,4.166666666666667
46076,2014,LAW ,2014-05-24 21:24:33,PHONE,WELFARE CHECK,2136.0,2672.0,6389,5,CAHOT,5,8.933333333333334
46107,2014,LAW ,2014-05-24 23:12:03,PHONE,TRANSPORT,131.0,633.0,2922,5,CAHOT,5,8.366666666666667
46143,2014,LAW ,2014-05-25 00:51:27,PHONE,ASSIST,-8.0,565.0,3753,5,CAHOT,5,9.55
46186,2014,LAW ,2014-05-25 08:43:31,PHONE,ASSIST,8533.0,9257.0,12131,5,CAHOT,5,12.066666666666666
46209,2014,LAW ,2014-05-25 10:53:07,PHONE,ASSIST,9231.0,10028.0,11876,5,CAHOT,5,13.283333333333333
46225,2014,LAW ,2014-05-25 11:53:30,PHONE,TRANSPORT,734.0,1462.0,4725,5,CAHOT,5,12.133333333333333
46235,2014,LAW ,2014-05-25 12:38:11,PHONE,WELFARE CHECK,2064.0,2067.0,2906,5,CAHOT,5,0.05
46251,2014,LAW ,2014-05-25 14:01:39,PHONE,ASSIST,566.0,1280.0,6544,5,CAHOT,5,11.9
46253,2014,LAW ,2014-05-25 14:09:21,PHONE,WELFARE CHECK,6335.0,7019.0,7826,5,CAHOT,5,11.4
46255,2014,LAW ,2014-05-25 14:19:37,PHONE,TRANSPORT,12344.0,12602.0,14650,5,CAHOT,5,4.3
46258,2014,LAW ,2014-05-25 14:31:49,PHONE,TRANSPORT,11639.0,12216.0,13058,5,CAHOT,5,9.616666666666667
46262,2014,LAW ,2014-05-25 14:40:04,PHONE,ASSIST,3236.0,4351.0,11099,4,CAHOT,5,18.583333333333332
46272,2014,LAW ,2014-05-25 15:09:02,PHONE,ASSIST,4258.0,4751.0,7607,5,CAHOT,5,8.216666666666667
46280,2014,LAW ,2014-05-25 15:44:05,PHONE,WELFARE CHECK,403.0,557.0,648,5,CAHOT,5,2.566666666666667
46286,2014,LAW ,2014-05-25 16:10:19,PHONE,ASSIST,4950.0,5559.0,5665,5,CAHOT,5,10.15
46295,2014,LAW ,2014-05-25 16:33:12,PHONE,SUICIDE RISK,2583.0,3020.0,3569,3,CAHOT,5,7.283333333333333
46308,2014,LAW ,2014-05-25 17:52:16,PHONE,ASSIST,1076.0,3194.0,7312,5,CAHOT,5,35.3
46310,2014,LAW ,2014-05-25 18:28:07,PHONE,TRANSPORT,227.0,1424.0,5166,5,CAHOT,5,19.95
46316,2014,LAW ,2014-05-25 18:46:29,PHONE,ASSIST,808.0,5036.0,13124,5,CAHOT,5,70.46666666666667
46324,2014,LAW ,2014-05-25 19:12:12,PHONE,ASSIST,2569.0,4114.0,5753,5,CAHOT,5,25.75
46350,2014,LAW ,2014-05-25 20:47:39,PHONE,TRANSPORT,193.0,923.0,5372,5,CAHOT,5,12.166666666666666
46357,2014,LAW ,2014-05-25 21:57:36,PHONE,TRANSPORT,5278.0,5932.0,7451,5,CAHOT,5,10.9
46363,2014,LAW ,2014-05-25 22:25:45,PHONE,TRANSPORT,5767.0,6258.0,10219,5,CAHOT,5,8.183333333333334
46394,2014,LAW ,2014-05-26 01:57:05,PHONE,SUBJECT DOWN,38.0,232.0,649,1,CAHOT,5,3.2333333333333334
46440,2014,LAW ,2014-05-26 09:54:13,PHONE,TRANSPORT,4438.0,5414.0,6680,5,CAHOT,5,16.266666666666666
46475,2014,LAW ,2014-05-26 12:22:28,PHONE,ASSIST,191.0,731.0,5620,5,CAHOT,5,9.0
46486,2014,LAW ,2014-05-26 13:12:25,PHONE,TRANSPORT,2626.0,2798.0,3383,5,CAHOT,5,2.8666666666666667
46495,2014,LAW ,2014-05-26 13:56:04,PHONE,WELFARE CHECK,768.0,1442.0,4062,5,CAHOT,5,11.233333333333333
46518,2014,LAW ,2014-05-26 15:15:19,PHONE,WELFARE CHECK,256.0,998.0,1780,5,CAHOT,5,12.366666666666667
46532,2014,LAW ,2014-05-26 15:41:35,PHONE,TRANSPORT,173.0,1934.0,3687,5,CAHOT,5,29.35
46535,2014,LAW ,2014-05-26 15:47:47,PHONE,TRANSPORT,3272.0,4377.0,4980,5,CAHOT,5,18.416666666666668
46536,2014,LAW ,2014-05-26 15:48:14,PHONE,SUBJECT DOWN,132.0,687.0,1053,3,CAHOT,5,9.25
46551,2014,LAW ,2014-05-26 16:53:23,PHONE,TRANSPORT,1857.0,2536.0,3730,5,CAHOT,5,11.316666666666666
46556,2014,LAW ,2014-05-26 17:00:52,PHONE,TRANSPORT,617.0,820.0,2316,5,CAHOT,5,3.3833333333333333
46561,2014,LAW ,2014-05-26 17:40:35,W911,SUBJECT DOWN,18.0,1429.0,1434,1,CAHOT,5,23.516666666666666
46565,2014,LAW ,2014-05-26 17:52:54,E911,DISORDERLY CONDUCT,2650.0,3329.0,3665,5,CAHOT,5,11.316666666666666
46572,2014,LAW ,2014-05-26 18:09:20,PHONE,ASSIST,1721.0,2561.0,3725,5,CAHOT,5,14.0
46583,2014,LAW ,2014-05-26 18:59:01,PHONE,ASSIST,758.0,1092.0,5103,5,CAHOT,5,5.566666666666666
46607,2014,LAW ,2014-05-26 20:21:46,PHONE,TRANSPORT,183.0,911.0,1926,5,CAHOT,5,12.133333333333333
46620,2014,LAW ,2014-05-26 21:30:21,PHONE,TRANSPORT,1235.0,1745.0,3274,5,CAHOT,5,8.5
46623,2014,LAW ,2014-05-26 21:54:41,PHONE,ASSIST,1826.0,2191.0,3404,5,CAHOT,5,6.083333333333333
46627,2014,LAW ,2014-05-26 22:10:55,PHONE,ASSIST,2521.0,3222.0,5898,5,CAHOT,5,11.683333333333334
46634,2014,LAW ,2014-05-26 22:34:27,PHONE,ASSIST,4539.0,4877.0,4993,5,CAHOT,5,5.633333333333334
46635,2014,LAW ,2014-05-26 22:36:02,PHONE,TRANSPORT,4909.0,5156.0,6001,5,CAHOT,5,4.116666666666666
46643,2014,LAW ,2014-05-26 23:34:48,PHONE,ASSIST,2490.0,3016.0,3418,5,CAHOT,5,8.766666666666667
46646,2014,LAW ,2014-05-27 00:18:22,PHONE,ASSIST,832.0,1920.0,4859,5,CAHOT,5,18.133333333333333
46650,2014,LAW ,2014-05-27 00:36:25,PHONE,ASSIST,3803.0,5038.0,5229,5,CAHOT,5,20.583333333333332
46682,2014,LAW ,2014-05-27 07:37:14,PHONE,ASSIST,12761.0,19001.0,30074,5,CAHOT,5,104.0
46748,2014,LAW ,2014-05-27 10:21:49,PHONE,TRANSPORT,20699.0,21030.0,21300,5,CAHOT,5,5.516666666666667
46770,2014,LAW ,2014-05-27 11:18:07,PHONE,WELFARE CHECK,172.0,1172.0,4285,3,CAHOT,5,16.666666666666668
46804,2014,LAW ,2014-05-27 12:33:33,PHONE,TRANSPORT,13689.0,14402.0,16127,5,CAHOT,5,11.883333333333333
46808,2014,LAW ,2014-05-27 12:48:57,PHONE,WELFARE CHECK,18710.0,19374.0,19774,5,CAHOT,5,11.066666666666666
46819,2014,LAW ,2014-05-27 13:18:45,PHONE,TRANSPORT,22915.0,23650.0,24097,5,CAHOT,5,12.25
46850,2014,LAW ,2014-05-27 15:11:27,PHONE,TRANSPORT,15486.0,15922.0,16100,5,CAHOT,5,7.266666666666667
46895,2014,LAW ,2014-05-27 16:57:54,W911,DISORDERLY CONDUCT,526.0,4141.0,9642,11,CAHOT,5,60.25
46907,2014,LAW ,2014-05-27 17:44:34,PHONE,TRANSPORT,8172.0,9285.0,9833,5,CAHOT,5,18.55
46912,2014,LAW ,2014-05-27 17:58:30,PHONE,TRANSPORT,6167.0,7268.0,7365,5,CAHOT,5,18.35
46927,2014,LAW ,2014-05-27 18:44:30,PHONE,ASSIST,2425.0,5303.0,10569,5,CAHOT,5,47.96666666666667
46950,2014,LAW ,2014-05-27 21:13:15,PHONE,ASSIST,3806.0,7006.0,7760,5,CAHOT,5,53.333333333333336
46955,2014,LAW ,2014-05-27 21:27:19,W911,TRAFFIC ISSUE,1005.0,1412.0,1608,3,CAHOT,5,6.783333333333333
46964,2014,LAW ,2014-05-27 21:59:56,PHONE,TRANSPORT,205.0,397.0,993,5,CAHOT,5,3.2
46967,2014,LAW ,2014-05-27 22:26:36,W911,ASSIST,3417.0,3993.0,4439,5,CAHOT,5,9.6
46969,2014,LAW ,2014-05-27 22:47:25,PHONE,TRANSPORT,3193.0,3417.0,5933,5,CAHOT,5,3.7333333333333334
46979,2014,LAW ,2014-05-27 23:31:13,PHONE,ASSIST,614.0,3839.0,4121,5,CAHOT,5,53.75
46980,2014,LAW ,2014-05-27 23:47:33,PHONE,WELFARE CHECK,3156.0,3400.0,7778,5,CAHOT,5,4.066666666666666
46988,2014,LAW ,2014-05-28 01:16:49,PHONE,ASSIST,2428.0,3133.0,3389,5,CAHOT,5,11.75
47016,2014,LAW ,2014-05-28 08:18:58,PHONE,ASSIST,11523.0,15547.0,18057,5,CAHOT,5,67.06666666666666
47049,2014,LAW ,2014-05-28 10:12:01,PHONE,ASSIST,30292.0,30523.0,30735,5,CAHOT,5,3.85
47060,2014,LAW ,2014-05-28 10:47:33,PHONE,ASSIST,17264.0,19000.0,21337,5,CAHOT,5,28.933333333333334
47069,2014,LAW ,2014-05-28 11:27:48,PHONE,ASSIST,21543.0,22984.0,23974,5,CAHOT,5,24.016666666666666
47109,2014,LAW ,2014-05-28 13:01:28,PHONE,ASSIST,3975.0,4771.0,12756,5,CAHOT,5,13.266666666666667
47126,2014,LAW ,2014-05-28 13:37:23,PHONE,WELFARE CHECK,3385.0,3698.0,13307,5,CAHOT,5,5.216666666666667
47178,2014,LAW ,2014-05-28 16:40:59,PHONE,SUBJECT DOWN,163.0,379.0,859,1,CAHOT,5,3.6
47180,2014,LAW ,2014-05-28 16:47:19,PHONE,WELFARE CHECK,700.0,2974.0,5712,3,CAHOT,5,37.9
47183,2014,LAW ,2014-05-28 16:58:53,W911,SUBJECT DOWN,216.0,522.0,1315,1,CAHOT,5,5.1
47200,2014,LAW ,2014-05-28 17:55:42,PHONE,TRANSPORT,2444.0,2970.0,3139,5,CAHOT,5,8.766666666666667
47205,2014,LAW ,2014-05-28 18:36:09,PHONE,TRANSPORT,489.0,944.0,3365,5,CAHOT,5,7.583333333333333
47208,2014,LAW ,2014-05-28 18:48:16,PHONE,ASSIST,6194.0,6661.0,11659,5,CAHOT,5,7.783333333333333
47209,2014,LAW ,2014-05-28 18:52:56,PHONE,TRANSPORT,14.0,965.0,5591,5,CAHOT,5,15.85
47222,2014,LAW ,2014-05-28 19:54:19,PHONE,INFORMATION,484.0,1656.0,2082,5,CAHOT,5,19.533333333333335
47224,2014,LAW ,2014-05-28 19:59:47,PHONE,ASSIST,1581.0,3072.0,8256,5,CAHOT,5,24.85
47243,2014,LAW ,2014-05-28 20:58:27,PHONE,TRANSPORT,3886.0,4562.0,5527,5,CAHOT,5,11.266666666666667
47248,2014,LAW ,2014-05-28 21:17:09,PHONE,WELFARE CHECK,4416.0,4690.0,4994,5,CAHOT,5,4.566666666666666
47252,2014,LAW ,2014-05-28 21:50:31,PHONE,TRANSPORT,2994.0,3061.0,4669,5,CAHOT,5,1.1166666666666667
47283,2014,LAW ,2014-05-29 00:52:17,PHONE,ASSIST,118.0,1229.0,2467,5,CAHOT,5,18.516666666666666
47290,2014,LAW ,2014-05-29 01:29:44,PHONE,ASSIST,221.0,914.0,5135,5,CAHOT,5,11.55
47352,2014,LAW ,2014-05-29 10:20:06,PHONE,WELFARE CHECK,26865.0,27745.0,29333,5,CAHOT,5,14.666666666666666
47354,2014,LAW ,2014-05-29 10:30:45,PHONE,SUICIDE RISK,1966.0,3112.0,7239,5,CAHOT,5,19.1
47357,2014,LAW ,2014-05-29 10:35:35,PHONE,ASSIST,15901.0,17489.0,22200,5,CAHOT,5,26.466666666666665
47425,2014,LAW ,2014-05-29 13:21:42,PHONE,TRANSPORT,9486.0,10901.0,11743,5,CAHOT,5,23.583333333333332
47462,2014,LAW ,2014-05-29 16:00:55,PHONE,ASSIST,4095.0,4892.0,7088,5,CAHOT,5,13.283333333333333
